model,token_count,token_label,loop_count,sample_count,accuracy,query_iou,cd_l1,cd_l2,fscore_0p02,fscore_0p05,pred_points_mean,gt_points_mean
flex,1,1,1,2613,85.04143009412074,51.22967405530689,0.1318645161903703,0.03141194099745078,19.482541166507723,60.023569991502,6381.0195177956375,100000.0
flex,16,16,1,2613,88.29814737161549,61.46932498256411,0.10490840644473315,0.020255020869483466,22.776820719275047,68.60102507655374,6603.5442020665905,100000.0
flex,2,2,1,2613,85.72013729429774,53.34168898682435,0.12481785124254183,0.028124236707621306,20.190188866867942,62.032710153323364,6438.558744737849,100000.0
flex,32,32,1,2613,89.11982586317212,63.97869943106199,0.1014542554778933,0.018942091243153145,23.371077508412135,70.09928119435924,6644.893226176809,100000.0
flex,4,4,1,2613,86.56485171049799,56.049686589553964,0.11683006566349441,0.024396018506494286,21.100358506269025,64.3859003476348,6503.635285112897,100000.0
flex,64,64,1,2613,89.85063134597445,66.15067132523926,0.09931787797201402,0.018154705244420807,23.716225865558666,71.0802399255071,6673.936471488711,100000.0
flex,8,8,1,2613,87.42384737221346,58.76714038786577,0.1098263419112644,0.021437188008979063,22.021601440299182,66.63647229620894,6558.091083046307,100000.0
flex,128,full,1,2613,90.45540962555013,67.91455422816708,0.098321149245107,0.01788685246547216,23.914693610908238,71.72692466034333,6690.922694221202,100000.0
flex,1,1,2,2613,91.31659162122082,69.55867427864675,0.09980064161886298,0.01793138701796552,22.386469395748122,70.87706678304573,6591.425947187141,100000.0
flex,16,16,2,2613,91.7807157496771,71.13281780037484,0.09886598223408172,0.017866520123415903,22.789405066299697,71.43535141586824,6613.164179104478,100000.0
flex,2,2,2,2613,91.41734517765738,69.8958171179128,0.09973774917055386,0.017997509740616067,22.463125670219814,70.96427887221084,6595.684270952927,100000.0
flex,32,32,2,2613,91.90837803171642,71.55961163645678,0.09855417013535261,0.01779205753352078,22.903035701140933,71.59898552322352,6619.73631840796,100000.0
flex,4,4,2,2613,91.53699557351464,70.3018625793616,0.09939986106858528,0.017868360578702846,22.558915814330003,71.10577875675263,6600.460007654037,100000.0
flex,64,64,2,2613,92.03250854352038,71.96701191161647,0.09821365036869645,0.01768776032301436,22.986922105667983,71.75241695019564,6625.119402985075,100000.0
flex,8,8,2,2613,91.65406254484787,70.7038961801387,0.09918577562458383,0.017871773040655257,22.67003351545329,71.27388558238263,6607.370455415232,100000.0
flex,128,full,2,2613,92.13723300564486,72.30890929599859,0.0981662046354347,0.01792399411765266,23.068653734838843,71.8762177187144,6629.799081515499,100000.0
flex,1,1,3,2613,92.70669358286692,73.9012956044803,0.09790207398902763,0.01760190458148712,22.810514991174582,71.96227337839336,6620.015690776885,100000.0
flex,16,16,3,2613,92.83029152614333,74.35224943355979,0.09765249972717022,0.01758079569395795,22.955785878010197,72.11541571325523,6626.510141599694,100000.0
flex,2,2,3,2613,92.73588674715366,74.00474053289368,0.09800386112160085,0.017903565243171327,22.8347835909728,71.99822625659007,6620.9043245311905,100000.0
flex,32,32,3,2613,92.86312858035544,74.46812386552395,0.09755924316637983,0.017563719818994142,23.00487711818504,72.15656967356597,6628.616150019135,100000.0
flex,4,4,3,2613,92.77609099933026,74.14680829293445,0.09796373538319726,0.017911223226489196,22.885160907818886,72.02695931890537,6622.813624186759,100000.0
flex,64,64,3,2613,92.89335885177478,74.57007069506506,0.09753124241507327,0.017580294295757234,23.011715695483513,72.19930413516865,6630.414848832759,100000.0
flex,8,8,3,2613,92.80148143746412,74.24631822964152,0.0977236008104404,0.017595258527937613,22.916183284590442,72.0744300689673,6624.833141982395,100000.0
flex,128,full,3,2613,92.92161301365768,74.66030823827884,0.09743071673010868,0.01752865995746539,23.026435200235355,72.21991870671341,6631.295445847684,100000.0
flex,1,1,4,2613,93.04780839641934,74.94621947035311,0.09776001564526555,0.01780467686196659,22.815856582586505,72.13640786853041,6623.900114810563,100000.0
flex,16,16,4,2613,93.10240134214743,75.16979878085594,0.09740060013098713,0.017484306240498865,22.938090602089556,72.2376919142186,6627.459242250287,100000.0
flex,2,2,4,2613,93.06268761361461,75.00389675140543,0.09773934264897863,0.017825663625853378,22.834155165982764,72.15449429557718,6624.377344048986,100000.0
flex,32,32,4,2613,93.11393565525736,75.2171677618228,0.09756719188861286,0.017792152221171212,22.95671828696607,72.25507017986153,6628.689246077306,100000.0
flex,4,4,4,2613,93.08580762802573,75.08963336411158,0.09769502356887487,0.01782363922905405,22.87349892639525,72.18082421855642,6625.667432070417,100000.0
flex,64,64,4,2613,93.12113467368685,75.24502477567066,0.09729354729621915,0.01744604391554994,22.98131439421272,72.27728679184582,6629.050133945656,100000.0
flex,8,8,4,2613,93.0942913512366,75.13274206764895,0.09747891262538902,0.01752808476675077,22.911981634621345,72.21161775376007,6627.057022579411,100000.0
flex,128,full,4,2613,93.12883355906764,75.27056055061729,0.0972849833935497,0.017446014114075113,22.982713493100885,72.28721611736273,6628.957520091849,100000.0
flex,1,1,5,2613,93.1259418053961,75.17928071126279,0.09750925150517278,0.017472178529095755,22.800477805839353,72.17493770912685,6622.749712973594,100000.0
flex,16,16,5,2613,93.17585375406621,75.3838552456987,0.0972936789716285,0.01740633717459562,22.918449300300377,72.26745506351746,6625.613471106009,100000.0
flex,2,2,5,2613,93.13754619331229,75.22458766002461,0.09746694057681887,0.017464374652609995,22.82224121183807,72.18886913630229,6622.986988136242,100000.0
flex,32,32,5,2613,93.18277714492442,75.41696140277936,0.09727232430555402,0.017415520763289585,22.941454600348372,72.28318497843313,6626.84003061615,100000.0
flex,4,4,5,2613,93.16033452030712,75.30893804239655,0.09737896207110405,0.0174313640386486,22.861691383144713,72.22150304814622,6624.313432835821,100000.0
flex,64,64,5,2613,93.18746281363615,75.43967113464812,0.09723607796565743,0.01741594957822843,22.969197315439196,72.30570452345921,6627.457328740911,100000.0
flex,8,8,5,2613,93.16678140248278,75.34346331174135,0.09738136032536145,0.01746205285282479,22.89247639948102,72.24329856191413,6625.200918484501,100000.0
flex,128,full,5,2613,93.1875702616724,75.44429345309361,0.09721900416052283,0.017404941366343993,22.97450655267398,72.31281867273482,6627.717948717948,100000.0
flex,1,1,6,2613,93.1166685727014,75.15474064427619,0.09757793237107608,0.017543203837031632,22.81757957604079,72.16796514118276,6623.014542671259,100000.0
flex,16,16,6,2613,93.16858466083046,75.36241700068572,0.09732696844229674,0.017428431413980938,22.933905284904416,72.26470752591885,6625.470723306545,100000.0
flex,2,2,6,2613,93.12685744953119,75.19613467799351,0.09747788015920802,0.017472440133015403,22.84048063221031,72.19502731052867,6623.029468044393,100000.0
flex,32,32,6,2613,93.17348055396097,75.38902235438525,0.09724639813108883,0.017383252488047517,22.961140959972123,72.288342425611,6626.677765021049,100000.0
flex,4,4,6,2613,93.14979994109979,75.28031338658154,0.09741682173682348,0.017461239795102595,22.879957273644305,72.2235698907729,6624.428626100268,100000.0
flex,64,64,6,2613,93.17472788551234,75.40042996297765,0.09721326365009642,0.01737579375256085,22.967507349614195,72.29844319412453,6626.774971297359,100000.0
