model,token_count,token_label,loop_count,sample_count,mesh_cd,mesh_fscore_0p02,vertices_mean,faces_mean,empty_or_invalid_count
flex,1,1,1,1283,0.027076147114985454,85.409192260983,32629.602494154326,65250.61886204209,0
flex,16,16,1,1283,0.016211725033080566,95.4235441817979,32168.10288386594,64331.14419329696,0
flex,2,2,1,1283,0.023833209654263925,88.43874016150951,32464.59625876851,64922.484801247076,0
flex,32,32,1,1283,0.014690872382956965,96.59182990260331,32153.837100545596,64303.30787217459,0
flex,4,4,1,1283,0.0208412616661749,91.35257810980022,32356.24162120031,64706.67186282151,0
flex,64,64,1,1283,0.013775473196694301,97.1962076080202,32169.815276695244,64335.00233826968,0
flex,8,8,1,1283,0.01822507451791288,93.73400010023283,32229.485580670305,64454.08417770849,0
flex,128,full,1,1283,0.013222653567117652,97.53994418585232,32205.302416212002,64406.495713172255,0
flex,1,1,2,1283,0.012804500002464579,97.57033972152975,32297.228371005454,64590.56430241621,0
flex,16,16,2,1283,0.012526488636473933,97.75148501050587,32167.840218238503,64332.49103663289,0
flex,2,2,2,1283,0.012723417249984728,97.6261118992134,32248.111457521434,64492.46453624318,0
flex,32,32,2,1283,0.012461631014710482,97.79052752815466,32160.243959469994,64317.37178487919,0
flex,4,4,2,1283,0.012649517676935857,97.6740146492377,32212.0872954014,64420.56742010912,0
flex,64,64,2,1283,0.012410970806093909,97.81883233384083,32154.492595479347,64305.08963367109,0
flex,8,8,2,1283,0.012588113886345127,97.71466046915053,32187.080280592363,64370.598597038195,0
flex,128,full,2,1283,0.012380943486140166,97.83680489960754,32140.324240062353,64276.952455183164,0
flex,1,1,3,1283,0.01241801722641804,97.74562980805791,32266.413873733436,64527.93764614186,0
flex,16,16,3,1283,0.012280916647561072,97.8517309222313,32161.411535463758,64319.125487139514,0
flex,2,2,3,1283,0.012378024928792851,97.77719230285437,32230.99298519096,64457.51208106001,0
flex,32,32,3,1283,0.012251223961003099,97.86983168023735,32151.1831644583,64298.24473889322,0
flex,4,4,3,1283,0.012337894780506857,97.80334274768846,32198.62353858145,64392.93063133281,0
flex,64,64,3,1283,0.012238314709153238,97.88500244750982,32142.800467653935,64281.21590023383,0
flex,8,8,3,1283,0.012308501856808032,97.82976455653179,32178.360093530788,64352.76071706937,0
flex,128,full,3,1283,0.012228804653949345,97.89262507116591,32138.1948558067,64272.05144193297,0
flex,1,1,4,1283,0.012344038161593582,97.78446425455849,32258.515198752924,64511.86749805144,0
flex,16,16,4,1283,0.012217812979262624,97.88002597797072,32161.434138737335,64318.91971940764,0
flex,2,2,4,1283,0.012306891500052895,97.81491787944384,32222.81449727202,64441.056897895556,0
flex,32,32,4,1283,0.012197980599195852,97.8975024069518,32148.61106780982,64293.106780982074,0
flex,4,4,4,1283,0.012262722333417773,97.83915191352075,32193.539360872954,64382.69212782541,0
flex,64,64,4,1283,0.012192345729080086,97.90582797191561,32141.063912704598,64277.72564302416,0
flex,8,8,4,1283,0.012236037388327077,97.8613939919184,32177.113016367886,64350.29306313328,0
flex,128,full,4,1283,0.012185273436158101,97.91190307506358,32134.925175370226,64265.515198752924,0
flex,1,1,5,1283,0.012316081114116318,97.80155823200356,32246.38347622759,64487.62899454404,0
flex,16,16,5,1283,0.012195225496053045,97.89440855071864,32158.201091192517,64312.657833203426,0
flex,2,2,5,1283,0.012277725540195105,97.83001878606508,32214.078721745907,64423.515198752924,0
flex,32,32,5,1283,0.01217789701853747,97.90818130251377,32145.73109898675,64287.639906469216,0
flex,4,4,5,1283,0.012236416735047774,97.85280224908689,32187.77474668745,64371.05845674201,0
flex,64,64,5,1283,0.012171934039163744,97.91678230514276,32137.612626656275,64271.075604053,0
flex,8,8,5,1283,0.012213398961159744,97.87561587532402,32171.184723304756,64338.177708495714,0
flex,128,full,5,1283,0.01216915179754153,97.92191304484717,32129.450506625097,64254.3897116134,0
flex,1,1,6,1283,0.012320185151549772,97.80104102935246,32218.09742790335,64431.22525331255,0
flex,16,16,6,1283,0.01220457256921867,97.89104188765116,32133.309431021044,64263.28760717069,0
flex,2,2,6,1283,0.012289881425823525,97.82589414045246,32186.68199532346,64368.79812938425,0
flex,32,32,6,1283,0.0121895793132167,97.90518760969695,32122.97038191738,64242.405300077946,0
flex,4,4,6,1283,0.012244393655896023,97.85075334625071,32161.88230709275,64319.342166796574,0
flex,64,64,6,1283,0.012180854362972766,97.91388481834291,32115.77474668745,64227.41543257989,0
flex,8,8,6,1283,0.012218379861877586,97.87288363861643,32145.97038191738,64287.90491036633,0
flex,128,full,6,1283,0.01218006723194522,97.91772672156297,32109.021044427125,64213.8254091972,0
