model,token_count,token_label,loop_count,sample_count,accuracy,query_iou,cd_l1,cd_l2,fscore_0p02,fscore_0p05,pred_points_mean,gt_points_mean
flex,1,1,1,1283,99.17901325019486,88.2561493478561,0.08073892650859185,0.00802484539712107,24.569597473824587,78.10402133834053,6820.941543257989,100000.0
flex,16,16,1,1283,99.59810116913484,94.08667084225125,0.07602083680982813,0.006806897058849229,24.861699831931528,80.56323463753216,6842.998441153546,100000.0
flex,2,2,1,1283,99.29733671083399,89.87152732510407,0.07912395894160905,0.007483679687457379,24.684900074684624,78.83865643081879,6826.199532346064,100000.0
flex,32,32,1,1283,99.66673904910367,95.07296775755802,0.07557394092909435,0.0066116697948635245,24.80710537851227,80.80518539388879,6844.642244738893,100000.0
flex,4,4,1,1283,99.40978020265004,91.42853216720476,0.07776712949472853,0.007213315189007963,24.778207263760912,79.62688752949552,6833.495713172252,100000.0
flex,64,64,1,1283,99.71265985970382,95.73826989415215,0.07547946840307825,0.006620785870968263,24.755626031807306,80.92904397891917,6846.883086515978,100000.0
flex,8,8,1,1283,99.5148676539361,92.90388871241791,0.07669860605847777,0.0070423645690667405,24.89097367792854,80.18288869555492,6841.8378799688235,100000.0
flex,128,full,1,1283,99.74157817614964,96.15947246539584,0.07539599539123515,0.006600555750128897,24.705404644526254,80.98485257358392,6848.627435697584,100000.0
flex,1,1,2,1283,99.75262681215901,96.31488140257248,0.07571649960837289,0.006637255526941402,24.282845749315033,80.89395553323406,6829.641465315666,100000.0
flex,16,16,2,1283,99.77357303195635,96.6215001853893,0.07573470234417279,0.006684939619729891,24.27700169618198,80.90579819882434,6825.375681995323,100000.0
flex,2,2,2,1283,99.75776040530008,96.38983601562133,0.07578982012243694,0.006705427603463299,24.285882823329114,80.88941955135101,6826.762275915822,100000.0
flex,32,32,2,1283,99.77806484801248,96.68749473737503,0.07572962966287729,0.006687104340522971,24.279786421000658,80.91336941721613,6825.438035853468,100000.0
flex,4,4,2,1283,99.76371769290725,96.47701978313331,0.07580359004471386,0.006730344196536531,24.276487138117268,80.895649759012,6825.215900233827,100000.0
flex,64,64,2,1283,99.78168511301637,96.74079614505922,0.07571172867861124,0.006682092114971518,24.274453012802198,80.92504399413775,6825.936866718628,100000.0
flex,8,8,2,1283,99.76881995323461,96.55177737551898,0.07579806634593195,0.006731166307408721,24.273717536857863,80.90023124242157,6825.095089633671,100000.0
flex,128,full,2,1283,99.78470678098208,96.7855941994506,0.07570625690107632,0.0066814676787384985,24.271410466970192,80.92667828246748,6827.951675759938,100000.0
flex,1,1,3,1283,99.77999594699922,96.71613821618041,0.07581609156838545,0.00672844416817803,24.186361552774024,80.90474143764202,6830.539360872954,100000.0
flex,16,16,3,1283,99.79102213561964,96.87833502197367,0.07577771057502758,0.006723437824703805,24.213992113291138,80.9203909157489,6827.727981293842,100000.0
flex,2,2,3,1283,99.78253873733438,96.75353212160388,0.07581674138800748,0.006729846383340074,24.198615514916817,80.90278408727835,6828.891660171473,100000.0
flex,32,32,3,1283,99.79285237724085,96.90525622173912,0.07579059461180686,0.00672433359874377,24.205446754814872,80.91656477074461,6827.362431800468,100000.0
flex,4,4,3,1283,99.78626328916602,96.80826842053794,0.07580728557782479,0.006727954808800758,24.19906909484007,80.91195951094917,6827.799688230709,100000.0
flex,64,64,3,1283,99.79422416212003,96.9254047085246,0.07578321041214225,0.006725604877265828,24.214565061242897,80.92501488662278,6826.950116913484,100000.0
flex,8,8,3,1283,99.78876991426344,96.84521965826404,0.0758113207551668,0.006735525227712925,24.210724547676264,80.91408854442999,6827.736554949338,100000.0
flex,128,full,3,1283,99.79513312548714,96.93884429452739,0.0757603708244766,0.006717807031880106,24.212283084793782,80.92589564264976,6827.487139516757,100000.0
flex,1,1,4,1283,99.78594544037412,96.80323295405034,0.07582301618982557,0.006728854764016185,24.16212630544609,80.9054281245465,6829.275136399065,100000.0
flex,16,16,4,1283,99.79544349181606,96.94307733383266,0.07579998735359891,0.006726669297425018,24.185571542617268,80.91487081949685,6826.3975058456745,100000.0
flex,2,2,4,1283,99.78822275915822,96.83677599174933,0.07582695399557869,0.006733029917403887,24.18113121837488,80.90899682914386,6827.817614964926,100000.0
