model,token_count,token_label,loop_count,sample_count,mesh_cd,mesh_fscore_0p02,vertices_mean,faces_mean,empty_or_invalid_count
flex,1,1,1,2613,0.057671988416974976,63.4266417967918,30887.89628779181,61749.592039801,6
flex,16,16,1,2613,0.02950631533346534,84.49163390644844,33558.859931113664,67126.45158821279,7
flex,2,2,1,2613,0.050815847105043624,67.92317855386977,31487.678913126674,62956.57711442786,6
flex,32,32,1,2613,0.02552843279546638,88.48248826445622,34267.74512055109,68553.43666283965,7
flex,4,4,1,2613,0.042774705911696576,73.50301648602264,32126.70417145044,64243.47799464218,6
flex,64,64,1,2613,0.02286290286281509,91.1570951430387,34835.66092613854,69696.35514734022,7
flex,8,8,1,2613,0.0353260569015814,79.27736999967065,32829.84921546115,65659.21239954076,7
flex,128,full,1,2613,0.02109436270012316,92.91457285754419,35312.101798698815,70657.24913892079,7
flex,1,1,2,2613,0.019789678521193454,93.32190928127095,34759.628396479144,69553.12437810945,7
flex,16,16,2,2613,0.01877737072801276,94.31824054493309,35153.68694986605,70344.3061615002,7
flex,2,2,2,2613,0.019637220239072686,93.52166677077096,34826.76578645236,69687.58132414849,7
flex,32,32,2,2613,0.018493644784065462,94.57937633438631,35281.638729429775,70602.28396479142,7
flex,4,4,2,2613,0.019352702892094873,93.78210497339568,34916.68541905855,69868.01607347876,7
flex,64,64,2,2613,0.01821068556112883,94.82054664753318,35397.00650593188,70834.66207424416,7
flex,8,8,2,2613,0.019085309620955688,94.05117489527805,35033.163030998854,70103.10294680444,7
flex,128,full,2,2613,0.018001889298995943,95.00792954486859,35478.747416762344,70999.31649445082,7
flex,1,1,3,2613,0.017367413183933745,95.31676023849276,35823.61615001914,71696.0,7
flex,16,16,3,2613,0.017141356019519886,95.58402658618975,35879.6831228473,71808.27631075392,7
flex,2,2,3,2613,0.017283480698212964,95.37755164225267,35832.85840030616,71714.8113279755,7
flex,32,32,3,2613,0.01707222295300163,95.64949774412365,35906.13318025258,71861.37696134711,7
flex,4,4,3,2613,0.017218980795402714,95.45539345018045,35842.41331802526,71733.7435897436,7
flex,64,64,3,2613,0.017011421302777906,95.72030682729486,35930.01683888251,71909.71603520858,7
flex,8,8,3,2613,0.017187621063050215,95.5226391223326,35863.70225794106,71776.79525449674,7
flex,128,full,3,2613,0.016948225935788666,95.76911379013237,35944.57941063911,71938.80673555301,7
flex,1,1,4,2613,0.016912941091159935,95.69783715833228,36020.420206659015,72094.14083429008,7
flex,16,16,4,2613,0.016721969094537003,95.88919104134591,36041.738614619215,72136.29008802143,7
flex,2,2,4,2613,0.016846770835295007,95.74624543849114,36029.78645235362,72112.80750095675,7
flex,32,32,4,2613,0.016712640030611837,95.9257524079608,36047.514734022196,72147.64944508228,7
flex,4,4,4,2613,0.016769694736387744,95.8071499502144,36032.14198239571,72117.0325296594,7
flex,64,64,4,2613,0.01668699748606973,95.96453047270664,36050.36050516648,72153.33639494833,7
flex,8,8,4,2613,0.01676756101030665,95.84973882901559,36042.11289705319,72137.46727898967,7
flex,128,full,4,2613,0.01665687667216841,95.98723703438992,36050.78300803674,72154.81209337925,7
flex,1,1,5,2613,0.01677820761011645,95.81423225558859,36063.97014925373,72181.77497129736,7
flex,16,16,5,2613,0.016611003198971647,95.98862645484193,36074.61615001914,72202.6368159204,7
flex,2,2,5,2613,0.01668276033936101,95.862576607036,36076.769230769234,72208.3092231152,7
flex,32,32,5,2613,0.01658435732727518,96.0198688208618,36077.774205893606,72209.21163413701,7
flex,4,4,5,2613,0.016647428124202064,95.91785213935353,36073.72407194795,72201.10218140068,7
flex,64,64,5,2613,0.016575140967578166,96.04995505262067,36077.274397244546,72207.87600459243,7
flex,8,8,5,2613,0.016638373752267076,95.95642908206872,36080.256410256414,72215.09070034443,7
flex,128,full,5,2613,0.016564623808084572,96.06322578546045,36073.05663987753,72199.98239571374,7
flex,1,1,6,2613,0.016793879283320746,95.81910557585196,36015.96670493685,72084.79831611174,7
flex,16,16,6,2613,0.016604680956358052,95.9902896143504,36019.071182548796,72091.34940681209,7
flex,2,2,6,2613,0.01670507846690389,95.86802872289829,36029.270570225795,72112.59471871413,7
flex,32,32,6,2613,0.016587668242843447,96.01715443490686,36020.161882893226,72093.08687332568,7
flex,4,4,6,2613,0.016649169741062862,95.92381768366329,36025.1576731726,72103.5966322235,7
flex,64,64,6,2613,0.01657373950329158,96.04576300475364,36017.508610792196,72087.96785304249,7
flex,8,8,6,2613,0.016639619938298593,95.95938848113,36025.29927286644,72104.33141982395,7
flex,128,full,6,2613,0.016568645340443146,96.05424505157963,36012.16494450823,72076.92460773057,7
